Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.404,-11.833149909973145,-4.3859090805053711,-2.5329849720001221,-121.61238861083984,-6.1045064926147461,-6.8345856666564941,-3.0592436790466309,-122.15086364746094,0
30.408,-11.831474304199219,-4.3876090049743652,-3.3561103343963623,-122.71755218505859,-6.744718074798584,-7.6004247665405273,-3.8430628776550293,-124.37630462646484,0
30.412,-12.889350891113281,-4.4990453720092773,-3.9232132434844971,-122.99627685546875,-6.9653692245483398,-8.0543394088745117,-4.2056450843811035,-125.45668792724609,0
30.416,-10.41162109375,-2.8966166973114014,-3.2736315727233887,-123.27337646484375,-6.5131278038024902,-7.7226395606994629,-3.6819083690643311,-126.79006195068359,0
30.42,-8.3578472137451172,-1.1649478673934937,-2.0297248363494873,-122.504150390625,-5.4088821411132812,-6.909296989440918,-2.6895592212677002,-127.09787750244141,0
30.424,-6.8751463890075684,0.53311347961425781,-0.58740884065628052,-122.91795349121094,-4.1578550338745117,-5.8155784606933594,-1.5671087503433228,-126.96067810058594,0
30.428,-3.8649120330810547,2.9567503929138184,1.333064079284668,-122.97048187255859,-2.6864840984344482,-4.6285300254821777,-0.47764492034912109,-127.2587890625,0
30.432,-4.0598540306091309,3.8005385398864746,2.3587367534637451,-122.48944091796875,-1.5212379693984985,-4.0120368003845215,0.052750520408153534,-126.42863464355469,0
30.436,-2.6250243186950684,5.112208366394043,3.2267258167266846,-122.3948974609375,-0.92795741558074951,-3.8909633159637451,0.13945586979389191,-126.40212249755859,0
30.44,-2.3472912311553955,5.7987236976623535,3.7662386894226074,-121.03586578369141,-0.73196697235107422,-4.171144962310791,-0.12905387580394745,-126.02264404296875,0
30.444,-2.8313229084014893,5.5323324203491211,3.7677326202392578,-120.56396484375,-1.1383826732635498,-4.6762380599975586,-0.62512969970703125,-126.14817047119141,0
30.448,-1.8688316345214844,5.1209402084350586,3.6836364269256592,-120.302978515625,-1.7563806772232056,-5.3196625709533691,-1.2560926675796509,-128.14999389648438,0
